UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Air temperature [K]_roll_mean,Process temperature [K]_roll_mean,Rotational speed [rpm]_roll_mean,Torque [Nm]_roll_mean,Tool wear [min]_roll_mean,Air temperature [K]_roll_std,Process temperature [K]_roll_std,Rotational speed [rpm]_roll_std,Torque [Nm]_roll_std,Tool wear [min]_roll_std,Air temperature [K]_roll_var,Process temperature [K]_roll_var,Rotational speed [rpm]_roll_var,Torque [Nm]_roll_var,Tool wear [min]_roll_var,Air temperature [K]_lag1,Process temperature [K]_lag1,Rotational speed [rpm]_lag1,Torque [Nm]_lag1,Tool wear [min]_lag1,Air temperature [K]_lag2,Process temperature [K]_lag2,Rotational speed [rpm]_lag2,Torque [Nm]_lag2,Tool wear [min]_lag2
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,298.26,308.73,1546.2,37.82,15.4,0.1837873166945515,0.2002775851440285,138.5454598478221,8.179622376505062,7.734482673212361,0.0337777777777833,0.0401111111111236,19194.844444444483,66.90622222222233,59.82222222222223,298.4,308.9,1782.0,23.9,24.0,298.5,309.0,1741.0,28.0,21.0
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,298.31,308.79,1530.3,37.99,18.3,0.2024845673132014,0.2131770260709857,153.0555817705161,8.459898869897264,8.769264507357503,0.0410000000000144,0.0454444444444697,23426.011111111147,71.56988888888901,76.90000000000002,298.6,309.1,1423.0,44.3,29.0,298.4,308.9,1782.0,23.9,24.0
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,298.35,308.85,1561.2,37.04,21.3,0.2173067468401398,0.2368778400592765,162.15068437858804,8.798131114680618,9.569047322835576,0.0472222222222446,0.0561111111111481,26292.84444444448,77.40711111111123,91.56666666666668,298.6,309.1,1339.0,51.1,34.0,298.6,309.1,1423.0,44.3,29.0
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,298.39,308.9,1623.9,35.0,24.4,0.2233582075700818,0.2538591035288872,210.3803169922933,10.276402310363514,10.145606602531627,0.0498888888889197,0.0644444444444902,44259.877777777816,105.60444444444455,102.93333333333337,298.6,309.2,1742.0,30.0,37.0,298.6,309.1,1339.0,51.1,34.0
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,298.44,308.96,1635.6,35.65,27.5,0.2065591117978258,0.2458545188612628,201.1401943366313,10.94514098178325,10.33064481154116,0.0426666666667067,0.060444444444503,40457.37777777782,119.7961111111112,106.72222222222229,298.6,309.2,2035.0,19.6,40.0,298.6,309.2,1742.0,30.0,37.0
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,298.49,309.02,1610.9,36.07,30.5,0.1728840330653417,0.2201009869230887,225.4277169195385,11.30752453506563,10.33064481154116,0.0298888888889381,0.0484444444445176,50817.6555555556,127.8601111111112,106.7222222222223,298.6,309.2,1542.0,48.4,42.0,298.6,309.2,2035.0,19.6,40.0
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,298.55000000000007,309.08000000000004,1599.2,36.61,33.6,0.1178511301979952,0.1686548085425958,233.16937096358865,11.650412486736734,10.145606602531632,0.0138888888889448,0.0284444444445396,54367.95555555561,135.7321111111112,102.93333333333344,298.6,309.2,1311.0,46.6,44.0,298.6,309.2,1542.0,48.4,42.0
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,298.6,309.13,1563.1,39.2,36.8,0.1054092553392399,0.1059349905476743,248.9196434371722,12.51843085658547,9.715966241192904,0.011111111111173,0.0112222222223358,61960.98888888894,156.7111111111112,94.40000000000016,298.7,309.2,1410.0,45.6,47.0,298.6,309.2,1311.0,46.6,44.0
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,298.64,309.16,1552.2,39.65,40.2,0.1349897115423419,0.1074967699778926,242.56948603555972,12.14644438142748,9.51957048517539,0.0182222222222846,0.0115555555556799,58839.955555555614,147.53611111111118,90.6222222222224,298.8,309.2,1306.0,54.5,50.0,298.7,309.2,1410.0,45.6,47.0
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,298.69,309.2,1511.5,41.53,43.6,0.1286683937710401,0.066666666667678,233.71076616669225,10.82035633013586,9.15544768005489,0.0165555555556194,0.0044444444445792,54620.722222222284,117.08011111111117,83.82222222222245,298.9,309.3,1632.0,32.5,55.0,298.8,309.2,1306.0,54.5,50.0
