UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Air temperature [K]_roll_mean,Process temperature [K]_roll_mean,Rotational speed [rpm]_roll_mean,Torque [Nm]_roll_mean,Tool wear [min]_roll_mean,Air temperature [K]_roll_std,Process temperature [K]_roll_std,Rotational speed [rpm]_roll_std,Torque [Nm]_roll_std,Tool wear [min]_roll_std,Air temperature [K]_roll_var,Process temperature [K]_roll_var,Rotational speed [rpm]_roll_var,Torque [Nm]_roll_var,Tool wear [min]_roll_var
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,298.19,308.65999999999997,1521.6,39.910000000000004,10.4,0.1286683937707858,0.1349897115421144,113.06065235576496,6.826655273427996,6.834552736727628,0.016555555555553988,0.01822222222222325,12782.711111111139,46.60322222222227,46.71111111111111
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,298.22,308.69,1544.7,38.019999999999996,12.8,0.13984117975601654,0.15238839267550974,140.10000396542162,8.377721779948432,6.988880056521535,0.01955555555555453,0.023222222222225353,19628.01111111115,70.18622222222233,48.84444444444445
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,298.26,308.72999999999996,1546.2,37.82,15.4,0.1837873166945515,0.20027758514402857,138.5454598478221,8.179622376505062,7.734482673212361,0.033777777777783374,0.040111111111123615,19194.844444444483,66.90622222222233,59.82222222222223
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,298.31,308.79,1530.3,37.989999999999995,18.3,0.20248456731320144,0.2131770260709857,153.0555817705161,8.459898869897264,8.769264507357503,0.04100000000001441,0.045444444444469725,23426.011111111147,71.56988888888901,76.90000000000002
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,298.35,308.85,1561.2,37.04,21.3,0.2173067468401398,0.23687784005927653,162.15068437858804,8.798131114680618,9.569047322835575,0.047222222222244606,0.05611111111114819,26292.84444444448,77.40711111111123,91.56666666666669
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,298.39,308.9,1623.9,35.0,24.4,0.22335820757008182,0.2538591035288872,210.3803169922933,10.276402310363514,10.145606602531629,0.04988888888891975,0.06444444444449027,44259.877777777816,105.60444444444455,102.93333333333337
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,298.44,308.96,1635.6,35.65,27.5,0.20655911179782582,0.24585451886126286,201.14019433663134,10.94514098178325,10.330644811541159,0.04266666666670671,0.06044444444450306,40457.37777777782,119.7961111111112,106.72222222222227
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,298.49,309.02,1610.9,36.07,30.5,0.17288403306534178,0.22010098692308874,225.42771691953854,11.30752453506563,10.33064481154116,0.02988888888893819,0.04844444444451768,50817.6555555556,127.86011111111121,106.7222222222223
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,298.55000000000007,309.08000000000004,1599.2,36.61,33.6,0.11785113019799526,0.16865480854259585,233.16937096358862,11.650412486736734,10.145606602531632,0.01388888888894483,0.028444444444539665,54367.95555555561,135.7321111111112,102.93333333333345
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,298.6,309.13,1563.1,39.2,36.8,0.10540925533923995,0.10593499054767433,248.9196434371722,12.51843085658547,9.715966241192904,0.011111111111173086,0.01122222222233585,61960.98888888894,156.7111111111112,94.40000000000015
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,298.64,309.16,1552.2,39.65,40.2,0.13498971154234193,0.10749676997789263,242.56948603555975,12.146444381427479,9.51957048517539,0.018222222222284683,0.011555555555679959,58839.955555555614,147.53611111111118,90.6222222222224
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,298.69,309.2,1511.5,41.53,43.6,0.12866839377104017,0.06666666666767808,233.71076616669222,10.82035633013586,9.15544768005489,0.016555555555619446,0.004444444444579299,54620.722222222284,117.08011111111117,83.82222222222245
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,298.71,309.22,1514.2,41.58,47.0,0.12866839377105413,0.06324555320447693,232.72864504014603,10.835722813402386,9.439868172337546,0.016555555555623044,0.004000000000140323,54162.622222222286,117.41288888888893,89.11111111111138
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,298.74,309.23999999999995,1538.4,39.540000000000006,50.1,0.13498971154238304,0.051639777950837615,224.93811494621278,10.764365079072505,9.780365819106967,0.01822222222229578,0.002666666666811815,50597.155555555626,115.87155555555562,95.65555555555588
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,298.78000000000003,309.26,1540.0,39.11,53.2,0.14757295747481386,0.06992058987906662,226.59802882343604,11.262173660335542,10.07527225990005,0.021777777777863223,0.0048888888890366335,51346.666666666744,126.83655555555563,101.51111111111148
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,298.82,309.28000000000003,1492.6,40.88,56.2,0.14757295747485838,0.07888106377561309,147.2218280917158,9.023647944275213,10.174041041351833,0.02177777777787636,0.0062222222223723405,21674.26666666672,81.4262222222223,103.5111111111115
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,298.86,309.31,1524.5,38.37,59.3,0.13498971154251693,0.09944289260196312,188.02201407754845,10.123355833582728,10.08904796741939,0.01822222222233193,0.009888888889045572,35352.27777777783,102.48233333333347,101.78888888888932
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,298.90999999999997,309.34000000000003,1544.6,37.61,62.4,0.11972189997429525,0.10749676997808093,172.78901714068664,9.713844644515266,9.617114374327121,0.014333333333455156,0.011555555555720442,29856.0444444445,94.35877777777793,92.48888888888933
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,298.95,309.36,1584.7,35.51,65.4,0.10801234497406621,0.09660917830881412,184.23297448852352,10.058434824122056,8.934328302800532,0.011666666666796686,0.00933333333350424,33941.78888888896,101.1721111111113,79.82222222222263
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,298.98,309.38,1598.0,34.480000000000004,68.6,0.10327955589952402,0.07888106377578252,165.75148734040255,8.265295585223274,8.52708104283708,0.010666666666802906,0.006222222222399069,27473.555555555628,68.31511111111134,72.7111111111115
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,298.99,309.39,1604.1,34.239999999999995,71.5,0.09944289260186974,0.07378647873848046,168.24548863028843,8.363438952435258,8.316649966583121,0.009888888889027,0.0054444444446242295,28306.544444444517,69.94711111111135,69.16666666666703
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,299.01,309.40999999999997,1600.5,34.79,74.3,0.09944289260189387,0.07378647873852112,173.97972423372937,9.127546828754774,7.97287066662109,0.0098888888890318,0.00544444444463023,30268.94444444452,83.31211111111134,63.56666666666703
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,299.03000000000003,309.41999999999996,1635.3,32.86,76.9,0.06749485577215918,0.063245553204866,175.3301964231429,8.810751008474455,8.116512661098863,0.0045555555557045685,0.004000000000189536,30740.677777777873,77.6293333333336,65.87777777777814
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,299.04,309.43,1619.1,34.62,79.5,0.05163977795089614,0.04830458915596634,187.93583420353303,10.007863574876186,8.045012257431468,0.002666666666817859,0.0023333333335267006,35319.87777777786,100.15733333333355,64.72222222222257
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,299.03000000000003,309.41999999999996,1609.8,35.3,82.0,0.0674948557721482,0.063245553204866,182.52171864678968,9.555219632338256,7.958224257542237,0.004555555555703087,0.004000000000189536,33314.177777777855,91.30222222222243,63.333333333333684
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,299.01000000000005,309.39,1609.6,35.04,84.5,0.09944289260187436,0.11972189997453168,182.58221892250828,9.530092689300922,7.691987172809575,0.00988888888902792,0.01433333333351177,33336.26666666674,90.82266666666688,59.166666666667034
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,298.99,309.36,1568.7,37.57000000000001,87.0,0.11972189997432628,0.12649110640740485,164.9693911002888,9.424795901120508,7.601169500660944,0.014333333333462588,0.016000000000169413,27214.900000000038,88.8267777777779,57.777777777778155
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,298.97,309.33,1575.6,37.34,89.6,0.11595018087335567,0.12516655570409094,163.77301364999073,9.414079290556726,7.4862837539359175,0.013444444444563892,0.015666666666825303,26821.600000000046,88.62488888888903,56.04444444444485
